Date,ticker,side,quantity,price,fees,fx_rate,total_gbp,notes
28/03/2025,CASH,INTEREST   ,0,0,0,0,0.03,
29/03/2025,CASH,INTEREST   ,0,0,0,0,0.04,
30/03/2025,CASH,INTEREST   ,0,0,0,0,0.04,
31/03/2025,CASH,INTEREST   ,0,0,0,0,0.03,
01/04/2025,CASH,INTEREST   ,0,0,0,0,0.04,
02/04/2025,CASH,INTEREST   ,0,0,0,0,0.04,
03/04/2025,CSPX,BUY,0.4482098,584.26,0.3,1.31132227,200,
03/04/2025,CASH,INTEREST   ,0,0,0,0,0.03,
04/04/2025,CSPX,BUY,0.6847919,571.27,0.45,1.3059625,300,
04/04/2025,CSPX,BUY,0.6998209,556.93,0.45,1.30112252,300,
04/04/2025,NASD,BUY,2.673536,72.82,0.22,1.29981901,150,
04/04/2025,CASH,DEPOSIT,0,0,0,0,1000,
04/04/2025,CASH,INTEREST   ,0,0,0,0,0.02,
05/04/2025,CASH,INTEREST   ,0,0,0,0,0.04,
06/04/2025,CASH,INTEREST   ,0,0,0,0,0.04,
07/04/2025,CSPX,BUY,2.0012932,514.97,1.2,1.29019273,800,
07/04/2025,NASD,BUY,5.775961,66.93,0.45,1.29055272,300,
07/04/2025,CASH,DEPOSIT,0,0,0,0,1500,
07/04/2025,CASH,INTEREST   ,0,0,0,0,0.05,
08/04/2025,CASH,DEPOSIT,0,0,0,0,1000,
08/04/2025,CASH,INTEREST   ,0,0,0,0,0.09,
09/04/2025,BABA,BUY,4,100,0.47,1.27803693,313.45,
09/04/2025,CSPX,BUY,0.7213654,531.68,0.45,1.28037241,300,
09/04/2025,CSPX,BUY,0.9793569,521.23,0.6,1.27809263,400,
09/04/2025,CASH,DEPOSIT,0,0,0,0,400,
09/04/2025,CASH,INTEREST   ,0,0,0,0,0.21,
10/04/2025,CASH,INTEREST   ,0,0,0,0,0.14,
11/04/2025,CASH,INTEREST   ,0,0,0,0,0.14,
12/04/2025,CASH,INTEREST   ,0,0,0,0,0.14,
13/04/2025,CASH,INTEREST   ,0,0,0,0,0.14,
14/04/2025,CASH,INTEREST   ,0,0,0,0,0.14,
15/04/2025,CASH,INTEREST   ,0,0,0,0,0.14,
16/04/2025,CASH,INTEREST   ,0,0,0,0,0.14,
17/04/2025,CASH,INTEREST   ,0,0,0,0,0.14,
18/04/2025,CASH,INTEREST   ,0,0,0,0,0.14,
19/04/2025,CASH,INTEREST   ,0,0,0,0,0.14,
20/04/2025,CASH,INTEREST   ,0,0,0,0,0.15,
21/04/2025,CASH,INTEREST   ,0,0,0,0,0.14,
22/04/2025,CSPX,BUY,0.4826025,554.35,0.3,1.33966297,200,
22/04/2025,NASD,BUY,1.835867,72.86,0.15,1.33962212,100,
22/04/2025,CASH,DEPOSIT,0,0,0,0,215,
22/04/2025,CASH,INTEREST   ,0,0,0,0,0.14,
23/04/2025,CASH,INTEREST   ,0,0,0,0,0.13,
24/04/2025,CASH,INTEREST   ,0,0,0,0,0.12,
25/04/2025,CASH,INTEREST   ,0,0,0,0,0.13,
26/04/2025,CASH,INTEREST   ,0,0,0,0,0.13,
27/04/2025,CASH,INTEREST   ,0,0,0,0,0.13,
28/04/2025,CASH,INTEREST   ,0,0,0,0,0.13,
29/04/2025,CASH,INTEREST   ,0,0,0,0,0.13,
30/04/2025,CSPX,BUY,1.1426479,582.91,0.75,1.33412295,500,
30/04/2025,NASD,BUY,5.172698,77.22,0.45,1.33345264,300,
30/04/2025,CASH,INTEREST   ,0,0,0,0,0.13,
01/05/2025,NKE,BUY,2,57.13,0.13,1.32814134,86.16,
01/05/2025,CASH,INTEREST   ,0,0,0,0,0.04,
02/05/2025,CASH,INTEREST   ,0,0,0,0,0.02,
03/05/2025,CASH,INTEREST   ,0,0,0,0,0.02,
04/05/2025,CASH,INTEREST   ,0,0,0,0,0.02,
05/05/2025,CASH,INTEREST   ,0,0,0,0,0.02,
06/05/2025,CASH,INTEREST   ,0,0,0,0,0.02,
07/05/2025,CASH,INTEREST   ,0,0,0,0,0.02,
08/05/2025,BA,BUY,1,187.1,0.21,1.33347587,140.52,
08/05/2025,CASH,INTEREST   ,0,0,0,0,0.02,
10/05/2025,CASH,INTEREST   ,0,0,0,0,0.01,
13/05/2025,CASH,INTEREST   ,0,0,0,0,0.01,
14/05/2025,BA,BUY,0.6502713,204.5,0.15,1.33180251,100,
14/05/2025,CSPX,BUY,0.211773,627.67,0.15,1.33123243,100,
14/05/2025,NASD,BUY,1.543672,86.11,0.15,1.33125283,100,
14/05/2025,CASH,DEPOSIT,0,0,0,0,1000,
15/05/2025,CASH,INTEREST   ,0,0,0,0,0.09,
16/05/2025,CASH,INTEREST   ,0,0,0,0,0.09,
17/05/2025,CASH,INTEREST   ,0,0,0,0,0.09,
18/05/2025,CASH,INTEREST   ,0,0,0,0,0.09,
19/05/2025,CASH,INTEREST   ,0,0,0,0,0.09,
20/05/2025,CASH,INTEREST   ,0,0,0,0,0.09,
21/05/2025,CASH,INTEREST   ,0,0,0,0,0.09,
22/05/2025,SLB,BUY,1,33.44,0.04,1.34189406,24.96,
22/05/2025,CASH,INTEREST   ,0,0,0,0,0.09,
23/05/2025,CSPX,BUY,0.2201254,613.23,0.15,1.35190284,100,
23/05/2025,NASD,BUY,0.668513,84.01,0.06,1.3519927,41.6,
23/05/2025,NASD,BUY,0.938384,84.01,0.09,1.35197461,58.4,
23/05/2025,CASH,INTEREST   ,0,0,0,0,0.09,
24/05/2025,CASH,INTEREST   ,0,0,0,0,0.06,
25/05/2025,CASH,INTEREST   ,0,0,0,0,0.06,
26/05/2025,CASH,INTEREST   ,0,0,0,0,0.06,
27/05/2025,CASH,INTEREST   ,0,0,0,0,0.06,
28/05/2025,CASH,INTEREST   ,0,0,0,0,0.06,
29/05/2025,CASH,INTEREST   ,0,0,0,0,0.06,
30/05/2025,CSPX,BUY,0.1069551,629.17,0.07,1.34774564,50,
30/05/2025,NASD,BUY,0.778359,86.46,0.07,1.34782533,50,
30/05/2025,CASH,INTEREST   ,0,0,0,0,0.06,
31/05/2025,CASH,INTEREST   ,0,0,0,0,0.04,
01/06/2025,CASH,INTEREST   ,0,0,0,0,0.05,
02/06/2025,CASH,INTEREST   ,0,0,0,0,0.05,
03/06/2025,CASH,INTEREST   ,0,0,0,0,0.05,
04/06/2025,CASH,INTEREST   ,0,0,0,0,0.04,
05/06/2025,PYPL,BUY,1,72.82,0.08,1.36137595,53.57,
05/06/2025,CASH,INTEREST   ,0,0,0,0,0.05,
06/06/2025,CASH,INTEREST   ,0,0,0,0,0.04,
07/06/2025,CASH,INTEREST   ,0,0,0,0,0.04,
08/06/2025,CASH,INTEREST   ,0,0,0,0,0.04,
09/06/2025,CASH,INTEREST   ,0,0,0,0,0.04,
10/06/2025,CASH,INTEREST   ,0,0,0,0,0.05,
11/06/2025,CASH,INTEREST   ,0,0,0,0,0.04,
12/06/2025,CASH,INTEREST   ,0,0,0,0,0.04,
13/06/2025,CASH,INTEREST   ,0,0,0,0,0.04,
14/06/2025,CASH,INTEREST   ,0,0,0,0,0.04,
