Date,ticker,side,quantity,price,fees,fx_rate,notes,
14/05/2025,NASD.L,BUY,1.543672,86.11,0.15,1.33125283,,
14/05/2025,CASH,DEPOSIT,0,0,0,0,,
15/05/2025,CASH,INTEREST   ,,,0,,,
16/05/2025,CASH,INTEREST   ,,,0,,,
17/05/2025,CASH,INTEREST   ,,,0,,,
18/05/2025,CASH,INTEREST   ,,,0,,,
19/05/2025,CASH,INTEREST   ,,,0,,,
20/05/2025,CASH,INTEREST   ,,,0,,,
21/05/2025,CASH,INTEREST   ,,,0,,,
22/05/2025,SLB,BUY,1,33.44,0.04,1.34189406,,
22/05/2025,CASH,INTEREST   ,,,0,,,
23/05/2025,CSPX.L,BUY,0.2201254,613.23,0.15,1.35190284,,
23/05/2025,NASD.L,BUY,0.668513,84.01,0.06,1.3519927,,
23/05/2025,NASD.L,BUY,0.938384,84.01,0.09,1.35197461,,
23/05/2025,CASH,INTEREST   ,,,0,,,
24/05/2025,CASH,INTEREST   ,,,0,,,
25/05/2025,CASH,INTEREST   ,,,0,,,
26/05/2025,CASH,INTEREST   ,,,0,,,
27/05/2025,CASH,INTEREST   ,,,0,,,
28/05/2025,CASH,INTEREST   ,,,0,,,
29/05/2025,CASH,INTEREST   ,,,0,,,
30/05/2025,CSPX.L,BUY,0.1069551,629.17,0.07,1.34774564,,
30/05/2025,NASD.L,BUY,0.778359,86.46,0.07,1.34782533,,
30/05/2025,CASH,INTEREST   ,,,0,,,
31/05/2025,CASH,INTEREST   ,,,0,,,
01/06/2025,CASH,INTEREST   ,,,0,,,
02/06/2025,CASH,INTEREST   ,,,0,,,
03/06/2025,CASH,INTEREST   ,,,0,,,
04/06/2025,CASH,INTEREST   ,,,0,,,
05/06/2025,PYPL,BUY,1,72.82,0.08,1.36137595,,
05/06/2025,CASH,INTEREST   ,,,0,,,
06/06/2025,CASH,INTEREST   ,,,0,,,
07/06/2025,CASH,INTEREST   ,,,0,,,
08/06/2025,CASH,INTEREST   ,,,0,,,
09/06/2025,CASH,INTEREST   ,,,0,,,
10/06/2025,CASH,INTEREST   ,,,0,,,
11/06/2025,CASH,INTEREST   ,,,0,,,
12/06/2025,CASH,INTEREST   ,,,0,,,
13/06/2025,CASH,INTEREST   ,,,0,,,
14/06/2025,CASH,INTEREST   ,,,0,,,
15/06/2025,CASH,INTEREST   ,,,0,,,
16/06/2025,CASH,INTEREST   ,,,0,,,
17/06/2025,CASH,INTEREST   ,,,0,,,
18/06/2025,CASH,INTEREST   ,,,0,,,
19/06/2025,CASH,INTEREST   ,,,0,,,
20/06/2025,CASH,INTEREST   ,,,0,,,
21/06/2025,CASH,INTEREST   ,,,0,,,
22/06/2025,CASH,INTEREST   ,,,0,,,
23/06/2025,CASH,INTEREST   ,,,0,,,
24/06/2025,CASH,INTEREST   ,,,0,,,
25/06/2025,CASH,INTEREST   ,,,0,,,
26/06/2025,CASH,INTEREST   ,,,0,,,
27/06/2025,CASH,INTEREST   ,,,0,,,
28/06/2025,CASH,INTEREST   ,,,0,,,
29/06/2025,CASH,INTEREST   ,,,0,,,
30/06/2025,CASH,INTEREST   ,,,0,,,
01/07/2025,CASH,DIVIDEND,0,0.49,0,0,,
01/07/2025,CASH,INTEREST   ,,,0,,,
02/07/2025,CASH,INTEREST   ,,,0,,,
03/07/2025,CASH,INTEREST   ,,,0,,,
04/07/2025,CASH,INTEREST   ,,,0,,,
05/07/2025,CASH,INTEREST   ,,,0,,,
06/07/2025,CASH,INTEREST   ,,,0,,,
07/07/2025,CASH,INTEREST   ,,,0,,,
08/07/2025,CASH,INTEREST   ,,,0,,,
09/07/2025,CASH,INTEREST   ,,,0,,,
10/07/2025,CASH,DIVIDEND,0,6.36,0,0,,
10/07/2025,CASH,DIVIDEND,0,5.75,0,0,,
10/07/2025,CASH,DIVIDEND,0,0.21,0,0,,
10/07/2025,CASH,INTEREST   ,,,0,,,
11/07/2025,CASH,INTEREST   ,,,0,,,
12/07/2025,CASH,INTEREST   ,,,0,,,
13/07/2025,CASH,INTEREST   ,,,0,,,
14/07/2025,CASH,INTEREST   ,,,0,,,
15/07/2025,CASH,INTEREST   ,,,0,,,
16/07/2025,CASH,INTEREST   ,,,0,,,
17/07/2025,CASH,INTEREST   ,,,0,,,
18/07/2025,CASH,INTEREST   ,,,0,,,
19/07/2025,CASH,INTEREST   ,,,0,,,
20/07/2025,CASH,INTEREST   ,,,0,,,
21/07/2025,CASH,INTEREST   ,,,0,,,
22/07/2025,CASH,INTEREST   ,,,0,,,
23/07/2025,CASH,INTEREST   ,,,0,,,
24/07/2025,CASH,INTEREST   ,,,0,,,
25/07/2025,CASH,INTEREST   ,,,0,,,
26/07/2025,CASH,INTEREST   ,,,0,,,
27/07/2025,CASH,INTEREST   ,,,0,,,
28/07/2025,CASH,INTEREST   ,,,0,,,
29/07/2025,CASH,INTEREST   ,,,0,,,
30/07/2025,CASH,INTEREST   ,,,0,,,
31/07/2025,CASH,INTEREST   ,,,0,,,
01/08/2025,CSPX.L,BUY,0.1956312,673.88,0.15,1.32029998,,
01/08/2025,NASD.L,BUY,1.4067971,93.71,0.15,1.32028999,,
01/08/2025,CASH,INTEREST   ,,,0,,,
02/08/2025,CASH,INTEREST   ,,,0,,,
03/08/2025,CASH,INTEREST   ,,,0,,,
04/08/2025,CASH,INTEREST   ,,,0,,,
05/08/2025,CASH,INTEREST   ,,,0,,,
06/08/2025,CASH,INTEREST   ,,,0,,,
07/08/2025,CASH,INTEREST   ,,,0,,,
08/08/2025,CASH,INTEREST   ,,,0,,,
09/08/2025,CASH,INTEREST   ,,,0,,,
10/08/2025,CASH,INTEREST   ,,,0,,,
11/08/2025,CASH,INTEREST   ,,,0,,,
12/08/2025,CASH,INTEREST   ,,,0,,,
13/08/2025,CASH,INTEREST   ,,,0,,,
14/08/2025,CASH,INTEREST   ,,,0,,,
15/08/2025,CASH,INTEREST   ,,,0,,,
16/08/2025,CASH,INTEREST   ,,,0,,,
17/08/2025,CASH,INTEREST   ,,,0,,,
18/08/2025,CASH,INTEREST   ,,,0,,,
19/08/2025,CASH,INTEREST   ,,,0,,,
20/08/2025,ISPE.L,BUY,7.77121541,6.434,0,1,,
20/08/2025,CASH,INTEREST   ,,,0,,,
21/08/2025,CASH,INTEREST   ,,,0,,,
22/08/2025,CASH,INTEREST   ,,,0,,,
23/08/2025,CASH,INTEREST   ,,,0,,,
24/08/2025,CASH,INTEREST   ,,,0,,,
25/08/2025,CASH,INTEREST   ,,,0,,,
26/08/2025,CASH,INTEREST   ,,,0,,,
27/08/2025,CASH,INTEREST   ,,,0,,,
28/08/2025,CASH,INTEREST   ,,,0,,,
29/08/2025,CASH,INTEREST   ,,,0,,,
30/08/2025,CASH,INTEREST   ,,,0,,,
31/08/2025,CASH,INTEREST   ,,,0,,,
01/09/2025,CASH,INTEREST   ,,,0,,,
02/09/2025,CASH,INTEREST   ,,,0,,,
03/09/2025,CASH,INTEREST   ,,,0,,,
04/09/2025,CASH,INTEREST   ,,,0,,,
05/09/2025,CASH,INTEREST   ,,,0,,,
06/09/2025,CASH,INTEREST   ,,,0,,,
07/09/2025,CASH,INTEREST   ,,,0,,,
08/09/2025,CASH,INTEREST   ,,,0,,,
09/09/2025,CASH,INTEREST   ,,,0,,,
10/09/2025,IGUS.L,BUY,0.33480648,14934,0,100,,
10/09/2025,CASH,INTEREST   ,,,0,,,
12/09/2025,CASH,INTEREST   ,,,0,,,
13/09/2025,CASH,INTEREST   ,,,0,,,
15/09/2025,CASH,INTEREST   ,,,0,,,
16/09/2025,PYPL,BUY,1,66.94,0.07,1.36528655,,
16/09/2025,CASH,INTEREST   ,,,0,,,
20/09/2025,CASH,INTEREST   ,,,0,,,
23/09/2025,IGUS.L,BUY,19.33102502,15307,0,100,,
23/09/2025,R2SC.L,BUY,55.39476389,52.94,0,1,,
23/09/2025,R2SC.L,BUY,15.02739467,52.93,0,1,,
23/09/2025,BABA,SELL,1.18452541,164.68,0.22,1.35256999,,
23/09/2025,CSPX.L,SELL,8,715.04,6.35,1.3513599,,
23/09/2025,CSPX.L,SELL,1,715.03,0.79,1.35135697,,
23/09/2025,CSPX.L,SELL,1,715.02,0.79,1.35136361,,
23/09/2025,CSPX.L,SELL,1.1407398,715.04,0.91,1.35134954,,
23/09/2025,ISPE.L,SELL,7.77121541,6.517,0,1,,
23/09/2025,NASD.L,SELL,10,100.4,1.11,1.35138772,,
23/09/2025,NASD.L,SELL,2,100.42,0.22,1.35136589,,
23/09/2025,NASD.L,SELL,2.1672241,100.4,0.24,1.35140239,,
24/09/2025,CASH,INTEREST   ,,,0,,,
25/09/2025,CASH,INTEREST   ,,,0,,,
26/09/2025,CASH,INTEREST   ,,,0,,,
27/09/2025,CASH,INTEREST   ,,,0,,,
28/09/2025,CASH,INTEREST   ,,,0,,,
29/09/2025,CASH,INTEREST   ,,,0,,,
30/09/2025,CASH,INTEREST   ,,,0,,,
01/10/2025,CASH,DIVIDEND,0,0.5,0,0,,
01/10/2025,CASH,INTEREST   ,,,0,,,
02/10/2025,CASH,INTEREST   ,,,0,,,
03/10/2025,ETSY,BUY,4,75.4,0.34,1.34727061,,
03/10/2025,CASH,INTEREST   ,,,0,,,
04/10/2025,CASH,INTEREST   ,,,0,,,
05/10/2025,CASH,INTEREST   ,,,0,,,
06/10/2025,CASH,INTEREST   ,,,0,,,
07/10/2025,CASH,INTEREST   ,,,0,,,
08/10/2025,KGS,BUY,7,35.03,0.27,1.3433956,,
08/10/2025,CASH,INTEREST   ,,,0,,,
09/10/2025,CASH,DIVIDEND,0,0.21,0,0,,
10/10/2025,CASH,INTEREST   ,,,0,,,
12/10/2025,CASH,INTEREST   ,,,0,,,
13/10/2025,CASH,INTEREST   ,,,0,,,
15/10/2025,CASH,INTEREST   ,,,0,,,
16/10/2025,EWSP.L,BUY,27.0898776,5.068,0,1,,
16/10/2025,EWSP.L,BUY,115.9648777,5.068,0,1,,
16/10/2025,CASH,INTEREST   ,,,0,,,
16/10/2025,CSPX.L,SELL,2.8313,716.27,2.26,1.344722,,
16/10/2025,CSPX.L,SELL,1.48775154,716.3,1.19,1.34476999,,
16/10/2025,IGUS.L,SELL,14.94293921,15317,0,100,,
16/10/2025,NASD.L,SELL,2,101,0.23,1.34460493,,
16/10/2025,NASD.L,SELL,17,100.98,1.92,1.34462825,,
16/10/2025,NASD.L,SELL,2.2026,100.98,0.25,1.34464994,,
16/10/2025,NASD.L,SELL,0.0266137,100.98,0,1.34372571,,
17/10/2025,CASH,INTEREST   ,,,0,,,
18/10/2025,CASH,INTEREST   ,,,0,,,
19/10/2025,CASH,INTEREST   ,,,0,,,
20/10/2025,CASH,INTEREST   ,,,0,,,
21/10/2025,CASH,INTEREST   ,,,0,,,
22/10/2025,CASH,INTEREST   ,,,0,,,
23/10/2025,CASH,INTEREST   ,,,0,,,
24/10/2025,CASH,INTEREST   ,,,0,,,
25/10/2025,CASH,INTEREST   ,,,0,,,
26/10/2025,CASH,INTEREST   ,,,0,,,
27/10/2025,CASH,INTEREST   ,,,0,,,
28/10/2025,CASH,INTEREST   ,,,0,,,
29/10/2025,CASH,INTEREST   ,,,0,,,
30/10/2025,CASH,INTEREST   ,,,0,,,
31/10/2025,CASH,INTEREST   ,,,0,,,
01/11/2025,CASH,INTEREST   ,,,0,,,
02/11/2025,CASH,INTEREST   ,,,0,,,
03/11/2025,CASH,INTEREST   ,,,0,,,
04/11/2025,CASH,INTEREST   ,,,0,,,
05/11/2025,CASH,INTEREST   ,,,0,,,
06/11/2025,CASH,INTEREST   ,,,0,,,
07/11/2025,CASH,INTEREST   ,,,0,,,
08/11/2025,CASH,INTEREST   ,,,0,,,
09/11/2025,CASH,INTEREST   ,,,0,,,
10/11/2025,CASH,INTEREST   ,,,0,,,
11/11/2025,CASH,INTEREST   ,,,0,,,
12/11/2025,CASH,INTEREST   ,,,0,,,
